"[0.04407308920890869, 0.7977235305097182]"
"[-0.19343028836380177, 0.8523098289023845]"
"[-0.21580021708069114, 1.0]"
"[-0.17031502632292134, 1.0]"
"[-0.28513715924714106, 1.0]"
"[-0.3225103880352094, 1.0]"
"[0.1494879835895951, 1.0]"
"[0.07953861699453045, 1.0]"
"[0.28335214671021214, 1.0]"
"[-0.2691026487042275, 1.0]"
"[0.2519076401529776, 1.0]"
"[-0.1432823347344039, 1.0]"
"[-0.16490779328453176, 1.0]"
"[-0.4493437810171956, 1.0]"
"[-0.13934021963297208, 1.0]"
"[0.512209974614845, 1.0]"
"[-0.37102471249524216, 1.0]"
"[-0.09967472294436394, 1.0]"
"[1.0, 1.0]"
"[-0.26561482693630867, 1.0]"
"[-0.4813886313342322, 1.0]"
"[1.0, 1.0]"
"[0.29526884040553664, 1.0]"
"[-1.0, 1.0]"
"[0.5983846794620173, 1.0]"
"[-0.3543174401182052, 1.0]"
"[0.3500484681070673, 1.0]"
"[-0.37887616460579543, 1.0]"
"[-0.28074471688477903, 1.0]"
"[1.0, 1.0]"
"[0.16978374797307236, 1.0]"
