"[-0.2678119262138829, 0.7509439721971964]"
"[0.15992762310749029, 1.0]"
"[0.016047839424779872, 1.0]"
"[-0.35937100848902287, 1.0]"
"[-0.05736522271529365, 1.0]"
"[-0.06142517377799209, 1.0]"
"[-0.13352805761492842, 1.0]"
"[-0.3069817486086606, 1.0]"
"[-0.3479343837080463, 1.0]"
"[-0.008869439800098237, 1.0]"
"[0.5452044652570424, 1.0]"
"[-0.5295604002925908, 1.0]"
"[-0.15152791291460677, 1.0]"
"[0.07006979523388676, 1.0]"
"[-0.12786440707633148, 1.0]"
"[-0.03882144389139698, 1.0]"
"[0.05617762494276551, 1.0]"
"[-0.4395015317730925, 1.0]"
"[1.0, 1.0]"
"[0.31028879597172415, 1.0]"
"[0.08651929244652028, 1.0]"
"[0.05606017701536989, 1.0]"
"[-0.4347393492612402, 1.0]"
"[0.6362851035837543, 1.0]"
"[-0.060787868663290404, 1.0]"
"[0.14115227761341087, 1.0]"
"[0.012690901523297802, 1.0]"
"[-0.2730850735131227, 1.0]"
"[1.0, 1.0]"
"[-0.10259983131928836, 1.0]"
"[0.5272965438714392, 1.0]"
