"[-1.9352321321384255e-5, 0.5208234024486408]"
"[-0.275491924316714, 0.700238180260395]"
"[-0.3719190359559127, 0.6436361176374006]"
"[-0.32642683072461565, 1.0]"
"[0.2011357761439042, 1.0]"
"[-0.14356511855980855, 1.0]"
"[-0.000967873118347562, 1.0]"
"[-0.6271542122075873, 1.0]"
"[0.20207838660443192, 1.0]"
"[0.6475770895751323, 1.0]"
"[-1.0, 1.0]"
"[0.16490235317227991, 1.0]"
"[-0.752016414470945, 1.0]"
"[0.11792923324311146, 1.0]"
"[0.2875638222528563, 1.0]"
"[-0.4799021876553241, 1.0]"
"[0.5029389257531378, 1.0]"
"[-0.4656340946746712, 1.0]"
"[-0.07278677758377915, 1.0]"
"[-0.3629820303299697, 1.0]"
"[0.005425783298705404, 1.0]"
"[-0.20314974842342207, 1.0]"
"[-0.017363866145613034, 1.0]"
"[0.5041277259949235, 1.0]"
"[-0.5942106572024863, 1.0]"
"[-0.8867611768473032, 1.0]"
"[0.5332454727374123, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[-0.36769566281688304, 1.0]"
"[0.19967723174708288, 1.0]"
